--------- beginning of /dev/log/system
I/Genyd   (   56): Genyd running
D/local_opengl(  109): Starting local_opengl
I/Vold    (  106): Vold 2.1 (the revenge) firing up
D/Vold    (  106): Volume usb state changing -1 (Initializing) -> 0 (No-Media)
D/Genyd   (   56): Received Get Capabilities
D/        (   56): Socket deconnection
D/Genyd   (   56): Received Get GenymotionVersion
D/Genymotion(   56): Received Get GenymotionVersion
I/genymotion_audio(  119): Starting pcm server
I/genymotion_audio(  119): out sampling rate 44100
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
I/EventHub(  288): New device: id=1, fd=95, path='/dev/input/event7', name='androVM Virtual Input', classes=0x37, configuration='/system/usr/idc/androVM_Virtual_Input.idc', keyLayout='/system/usr/keylayout/androVM_Virtual_Input.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=true, usingClockIoctl=true
E/EventHub(  288): could not get driver version for /dev/input/mouse3, Not a typewriter
W/ResourceType(  288): Failure getting entry for 0x7f060000 (t=5 e=0) in package 0 (error -75)
D/EventHub(  288): No input device configuration file found for device 'androVM via VirtualBox seamless mouse'.
I/EventHub(  288): New device: id=2, fd=114, path='/dev/input/event6', name='androVM via VirtualBox seamless mouse', classes=0x4, configuration='', keyLayout='', keyCharacterMap='', builtinKeyboard=false, usingSuspendBlockIoctl=true, usingClockIoctl=true
E/EventHub(  288): could not get driver version for /dev/input/mouse2, Not a typewriter
I/SystemServer(  288): Accessibility Manager
I/ActivityManager(  288): Config changed: {1.0 0mcc0mnc en_US sw320dp w320dp h508dp nrml long port ?uimode ?night -touch -keyb/v/h -nav/h s.2}
D/EventHub(  288): No input device configuration file found for device 'androVM via VirtualBox PS/2 mouse'.
I/EventHub(  288): New device: id=3, fd=115, path='/dev/input/event5', name='androVM via VirtualBox PS/2 mouse', classes=0x8, configuration='', keyLayout='', keyCharacterMap='', builtinKeyboard=false, usingSuspendBlockIoctl=true, usingClockIoctl=true
E/EventHub(  288): could not get driver version for /dev/input/mouse1, Not a typewriter
I/SystemServer(  288): Mount Service
D/MountService(  288): got storage path: /mnt/sdcard description: Internal storage primary: true removable: false emulated: true mtpReserve: 100 allowMassStorage: false maxFileSize: 0
D/MountService(  288): using emulated external storage
I/SystemServer(  288): LockSettingsService
I/SystemServer(  288): Device Policy
I/SystemServer(  288): Status Bar
I/SystemServer(  288): Clipboard Service
I/SystemServer(  288): NetworkManagement Service
I/SystemServer(  288): Text Service Manager Service
I/SystemServer(  288): NetworkStats Service
D/VoldCmdListener(  106): volume list
I/PackageManager(  288): No secure containers on sdcard
D/MountService(  288): volume state changed for /mnt/USB (null -> removed)
D/VoldCmdListener(  106): asec list
I/SystemServer(  288): NetworkPolicy Service
I/SystemServer(  288): Wi-Fi P2pService
W/PackageManager(  288): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.android.phone
W/PackageManager(  288): Unknown permission com.android.vending.billing.IBillingAccountService.BIND2 in package com.google.android.gsf.login
W/PackageManager(  288): Unknown permission com.android.chrome.TOS_ACKED in package com.google.android.gsf.login
W/PackageManager(  288): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.browser (protectionLevel=2 flags=0x9be45)
W/PackageManager(  288): Unknown permission com.google.android.gm.permission.READ_GMAIL in package com.google.android.talk
W/PackageManager(  288): Unknown permission com.cyanogenmod.filemanager.permissions.READ_THEME in package com.cyanogenmod.filemanager
W/PackageManager(  288): Unknown permission android.permission.INTERACT_ACROSS_USERS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.RECOVERY in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.READ_DREAM_STATE in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.RECEIVE_DATA_ACTIVITY_CHANGE in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.PROVIDE_TRUST_AGENT in package com.google.android.gms
W/PackageManager(  288): Unknown permission com.google.android.apps.enterprise.dmagent.permission.AutoSyncPermission in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.LOCATION_HARDWARE in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.GET_APP_OPS_STATS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.UPDATE_APP_OPS_STATS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_AUDIO_HOTWORD in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.MANAGE_VOICE_KEYPHRASES in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.REAL_GET_TASKS in package com.google.android.gms
W/PackageManager(  288): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.ACCESS_NETWORK_CONDITIONS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.MANAGE_DEVICE_ADMINS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.READ_WIFI_CREDENTIAL in package com.google.android.gms
W/PackageManager(  288): Not granting permission android.permission.MODIFY_PHONE_STATE to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Unknown permission android.permission.CONTROL_INCALL_EXPERIENCE in package com.google.android.gms
W/PackageManager(  288): Not granting permission android.permission.MANAGE_USB to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Not granting permission android.permission.CALL_PRIVILEGED to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Unknown permission android.permission.BLUETOOTH_PRIVILEGED in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.USER_ACTIVITY in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.MODIFY_AUDIO_ROUTING in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_AUDIO_OUTPUT in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_VIDEO_OUTPUT in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_SECURE_VIDEO_OUTPUT in package com.google.android.gms
W/PackageManager(  288): Not granting permission android.permission.READ_FRAME_BUFFER to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Unknown permission com.google.android.wearable.READ_SETTINGS in package com.google.android.gms
